year,doy,hour,mean,std
2015,1,1,-0.034998059,0.5
2015,1,2,-0.034998059,0.5
2015,1,3,-0.034998059,0.5
2015,1,4,-0.034998059,0.5
2015,1,5,-0.034998059,0.5
2015,1,6,-0.034998059,0.5
2015,1,7,-0.034998059,0.5
2015,1,8,-0.034998059,0.5
2015,1,9,-0.034998059,0.5
2015,1,10,-0.034998059,0.5
2015,1,11,-0.034998059,0.5
2015,1,12,-0.034998059,0.5
2015,1,13,-0.034998059,0.5
2015,1,14,-0.034998059,0.5
2015,1,15,-0.034998059,0.5
2015,1,16,-0.034998059,0.5
2015,1,17,-0.034998059,0.5
2015,1,18,-0.034998059,0.5
2015,1,19,-0.034998059,0.5
2015,1,20,-0.034998059,0.5
2015,1,21,-0.034998059,0.5
2015,1,22,-0.034998059,0.5
2015,1,23,-0.034998059,0.5
2015,1,24,-0.034998059,0.5
2015,2,1,-0.034998059,0.5
2015,2,2,-0.034998059,0.5
2015,2,3,-0.034998059,0.5
2015,2,4,-0.034998059,0.5
2015,2,5,-0.034998059,0.5
2015,2,6,-0.034998059,0.5
2015,2,7,-0.034998059,0.5
2015,2,8,-0.034998059,0.5
2015,2,9,-0.034998059,0.5
2015,2,10,-0.034998059,0.5
2015,2,11,-0.034998059,0.5
2015,2,12,-0.034998059,0.5
2015,2,13,-0.034998059,0.5
2015,2,14,-0.034998059,0.5
2015,2,15,-0.034998059,0.5
2015,2,16,-0.034998059,0.5
2015,2,17,-0.034998059,0.5
2015,2,18,-0.034998059,0.5
2015,2,19,-0.034998059,0.5
2015,2,20,-0.034998059,0.5
2015,2,21,-0.034998059,0.5
2015,2,22,-0.034998059,0.5
2015,2,23,-0.034998059,0.5
2015,2,24,-0.034998059,0.5
2015,3,1,-0.034998059,0.5
2015,3,2,-0.034998059,0.5
2015,3,3,-0.034998059,0.5
2015,3,4,-0.034998059,0.5
2015,3,5,-0.034998059,0.5
2015,3,6,-0.034998059,0.5
2015,3,7,-0.034998059,0.5
2015,3,8,-0.034998059,0.5
2015,3,9,-0.034998059,0.5
2015,3,10,-0.034998059,0.5
2015,3,11,-0.034998059,0.5
2015,3,12,-0.034998059,0.5
2015,3,13,-0.034998059,0.5
2015,3,14,-0.034998059,0.5
2015,3,15,-0.034998059,0.5
2015,3,16,-0.034998059,0.5
2015,3,17,-0.034998059,0.5
2015,3,18,-0.034998059,0.5
2015,3,19,-0.034998059,0.5
2015,3,20,-0.034998059,0.5
2015,3,21,-0.034998059,0.5
2015,3,22,-0.034998059,0.5
2015,3,23,-0.034998059,0.5
2015,3,24,-0.034998059,0.5
2015,4,1,-0.034998059,0.5
2015,4,2,-0.034998059,0.5
2015,4,3,-0.034998059,0.5
2015,4,4,-0.034998059,0.5
2015,4,5,-0.034998059,0.5
2015,4,6,-0.034998059,0.5
2015,4,7,-0.034998059,0.5
2015,4,8,-0.034998059,0.5
2015,4,9,-0.034998059,0.5
2015,4,10,-0.034998059,0.5
2015,4,11,-0.034998059,0.5
2015,4,12,-0.034998059,0.5
2015,4,13,-0.034998059,0.5
2015,4,14,-0.034998059,0.5
2015,4,15,-0.034998059,0.5
2015,4,16,-0.034998059,0.5
2015,4,17,-0.034998059,0.5
2015,4,18,-0.034998059,0.5
2015,4,19,-0.034998059,0.5
2015,4,20,-0.034998059,0.5
2015,4,21,-0.034998059,0.5
2015,4,22,-0.034998059,0.5
2015,4,23,-0.034998059,0.5
2015,4,24,-0.034998059,0.5
2015,5,1,-0.034998059,0.5
2015,5,2,-0.034998059,0.5
2015,5,3,-0.034998059,0.5
2015,5,4,-0.034998059,0.5
2015,5,5,-0.034998059,0.5
2015,5,6,-0.034998059,0.5
2015,5,7,-0.034998059,0.5
2015,5,8,-0.034998059,0.5
2015,5,9,-0.034998059,0.5
2015,5,10,-0.034998059,0.5
2015,5,11,-0.034998059,0.5
2015,5,12,-0.034998059,0.5
2015,5,13,-0.034998059,0.5
2015,5,14,-0.034998059,0.5
2015,5,15,-0.034998059,0.5
2015,5,16,-0.034998059,0.5
2015,5,17,-0.034998059,0.5
2015,5,18,-0.034998059,0.5
2015,5,19,-0.034998059,0.5
2015,5,20,-0.034998059,0.5
2015,5,21,-0.034998059,0.5
2015,5,22,-0.034998059,0.5
2015,5,23,-0.034998059,0.5
2015,5,24,-0.034998059,0.5
2015,6,1,-0.034998059,0.5
2015,6,2,-0.034998059,0.5
2015,6,3,-0.034998059,0.5
2015,6,4,-0.034998059,0.5
2015,6,5,-0.034998059,0.5
2015,6,6,-0.034998059,0.5
2015,6,7,-0.034998059,0.5
2015,6,8,-0.034998059,0.5
2015,6,9,-0.034998059,0.5
2015,6,10,-0.034998059,0.5
2015,6,11,-0.034998059,0.5
2015,6,12,-0.034998059,0.5
2015,6,13,-0.034998059,0.5
2015,6,14,-0.034998059,0.5
2015,6,15,-0.034998059,0.5
2015,6,16,-0.034998059,0.5
2015,6,17,-0.034998059,0.5
2015,6,18,-0.034998059,0.5
2015,6,19,-0.034998059,0.5
2015,6,20,-0.034998059,0.5
2015,6,21,-0.034998059,0.5
2015,6,22,-0.034998059,0.5
2015,6,23,-0.034998059,0.5
2015,6,24,-0.034998059,0.5
2015,7,1,-0.034998059,0.5
2015,7,2,-0.034998059,0.5
2015,7,3,-0.034998059,0.5
2015,7,4,-0.034998059,0.5
2015,7,5,-0.034998059,0.5
2015,7,6,-0.034998059,0.5
2015,7,7,-0.034998059,0.5
2015,7,8,-0.034998059,0.5
2015,7,9,-0.034998059,0.5
2015,7,10,-0.034998059,0.5
2015,7,11,-0.034998059,0.5
2015,7,12,-0.034998059,0.5
2015,7,13,-0.034998059,0.5
2015,7,14,-0.034998059,0.5
2015,7,15,-0.034998059,0.5
2015,7,16,-0.034998059,0.5
2015,7,17,-0.034998059,0.5
2015,7,18,-0.034998059,0.5
2015,7,19,-0.034998059,0.5
2015,7,20,-0.034998059,0.5
2015,7,21,-0.034998059,0.5
2015,7,22,-0.034998059,0.5
2015,7,23,-0.034998059,0.5
2015,7,24,-0.034998059,0.5
2015,8,1,-0.034998059,0.5
2015,8,2,-0.034998059,0.5
2015,8,3,-0.034998059,0.5
2015,8,4,-0.034998059,0.5
2015,8,5,-0.034998059,0.5
2015,8,6,-0.034998059,0.5
2015,8,7,-0.034998059,0.5
2015,8,8,-0.034998059,0.5
2015,8,9,-0.034998059,0.5
2015,8,10,-0.034998059,0.5
2015,8,11,-0.034998059,0.5
2015,8,12,-0.034998059,0.5
2015,8,13,-0.034998059,0.5
2015,8,14,-0.034998059,0.5
2015,8,15,-0.034998059,0.5
2015,8,16,-0.034998059,0.5
2015,8,17,-0.034998059,0.5
2015,8,18,-0.034998059,0.5
2015,8,19,-0.034998059,0.5
2015,8,20,-0.034998059,0.5
2015,8,21,-0.034998059,0.5
2015,8,22,-0.034998059,0.5
2015,8,23,-0.034998059,0.5
2015,8,24,-0.034998059,0.5
2015,9,1,-0.034998059,0.5
2015,9,2,-0.034998059,0.5
2015,9,3,-0.034998059,0.5
2015,9,4,-0.034998059,0.5
2015,9,5,-0.034998059,0.5
2015,9,6,-0.034998059,0.5
2015,9,7,-0.034998059,0.5
2015,9,8,-0.034998059,0.5
2015,9,9,-0.034998059,0.5
2015,9,10,-0.034998059,0.5
2015,9,11,-0.034998059,0.5
2015,9,12,-0.034998059,0.5
